epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
37,227,,,113408.796875,238.7442169189453,,,
38,229,,,,,190.03634643554688,,
38,233,,,,,,111208.4765625,223.604736328125
38,233,,,121396.3046875,227.82403564453125,,,
39,234,,,,,238.03224182128906,,
39,239,,,,,124.95072937011719,,
39,239,,,,,,101333.6953125,224.18814086914062
39,239,,,117712.0,219.67015075683594,,,
40,244,,,,,275.59130859375,,
40,245,,,,,,138430.6875,245.53343200683594
40,245,,,129947.1171875,239.39039611816406,,,
41,249,,,,,234.8240966796875,,
41,251,,,,,,100556.171875,221.90797424316406
41,251,,,123909.8203125,228.27960205078125,,,
42,254,,,,,151.45849609375,,
42,257,,,,,,112569.328125,224.25137329101562
42,257,,,110618.171875,231.00064086914062,,,
43,259,,,,,295.90869140625,,
43,263,,,,,,109782.15625,230.85263061523438
43,263,,,123970.71875,245.4924774169922,,,
44,264,,,,,217.64578247070312,,
44,269,,,,,285.73858642578125,,
44,269,,,,,,129683.046875,271.26922607421875
44,269,,,123960.890625,233.3134002685547,,,
45,274,,,,,284.1729736328125,,
45,275,,,,,,114172.125,211.02589416503906
45,275,,,114722.6171875,231.883544921875,,,
46,279,,,,,268.11260986328125,,
